,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
973,2982,004812,004812,中欧先进制造股票,中欧基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2018-01-19,
974,2983,004818,004818,国寿安保目标策略混合发起,国寿安保基金管理有限公司,广发银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-10-24,
975,2993,004845,004845,南华瑞盈混合发起,南华基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-16,
976,2998,004851,004851,广发医疗保健股票,广发基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-08-10,
977,3002,519965,519965,长信量化多策略股票,长信基金管理有限责任公司,中国工商银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2015-07-14,
978,3007,004868,,交银股息优化混合,交银施罗德基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-25,
979,3010,004871,004871,中银金融地产混合,中银基金管理有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-09-28,
980,3015,004881,004881,中银量化价值混合,中银基金管理有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-11-24,
981,3022,004890,,中邮健康文娱,中邮创业基金管理股份有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-12-13,
982,3023,004895,,华商鑫安混合,华商基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-09-06,
983,3030,004905,004905,华泰柏瑞生物医药混合,华泰柏瑞基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-16,
984,3043,004925,004925,长信低碳环保量化股票,长信基金管理有限责任公司,交通银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-11-09,
985,3047,004936,004936,中航混改精选,中航基金管理有限公司,中国邮政储蓄银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-12-14,
